ID_nr,Date,Day,Month,Year,Time,decimalLatitude,decimalLongitude,verbatimCoordinates,GeoreferencingComments,georeferencedBy,coordinatePrecision,georeferenceVerificationStatus,Country,Province,Location,ProtectedArea,ProtectedAreaName,Elevation_m,RoadName,RoadType,RoadSurface,DrivingFrom,DrivingTo,TotalMileage,TimeStart,TimeEnd,RecordingRoadkill,Speed_kmh,OdometerReading,Class,vernacularName,Genus,ScientificName,Number,SpeciesComments,LivestockType,Sex,ActivityPhase,lifeStage,IncidentType,MeansOfReporting,Detail,Other,Photograph,HabitatGCategory,HabitatComments,FenceCategory,FenceComments,recordedBy,Institution,DataEnteredBy,fieldNotes
7851,18/03/15,18,3,2015,15:36:03,-29.1352,25.3835,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,yellow mongoose,Cynictis,Cynictis penicillata,1,not given,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7853,18/03/15,18,3,2015,15:44:00,-29.2048,25.28,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,african wild cat,Felis,Felis lybica,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7855,19/03/15,19,3,2015,10:27:04,-32.5087,24.845,NA,NA,Data provider,1e-5,NA,South Africa,Eastern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,suricate,Suricata,Suricata suricatta,1,ID as Meerkat,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Llewellen,Public,Laura Goodman,NA
7857,19/03/15,19,3,2015,12:35:05,-32.1603,24.5674,NA,NA,Data provider,1e-5,NA,South Africa,Eastern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,caracal,Caracal,Caracal caracal,1,ID as Rooikat,Wildlife,Unknown,NA,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Llewellen,Public,Laura Goodman,NA
7859,19/03/15,19,3,2015,16:46:05,-30.9399,24.2879,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,yellow mongoose,Cynictis,Cynictis penicillata,1,not given,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Llewellen,Public,Laura Goodman,NA
7863,20/03/15,20,3,2015,07:52:05,-28.3312,21.8716,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,bat-eared fox,Otocyon,Otocyon megalotis,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7866,20/03/15,20,3,2015,08:22:04,-28.1249,22.4961,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,small-spotted genet,Genetta,Genetta genetta,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7867,20/03/15,20,3,2015,08:29:00,-28.1125,22.535,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,slender mongoose,Galerella,Galerella sanguinea,1,not given,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7875,22/03/15,22,3,2015,15:56:46,-23.22038999,29.27506514,NA,NA,Data provider,1e-5,NA,South Africa,Limpopo,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,african civet,Civettictis,Civettictis civetta,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Sam Williams,Public,Laura Goodman,NA
7886,23/03/15,23,3,2015,14:24:03,-29.1337,25.5562,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,not given,Wildlife,Unknown,Unknown,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
