unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79661,575,550,ReptileMAP-VM,VMUS,Els J.C.,South Africa,Western Cape,Blesberg area; Swartberg; Oudtshoorn; Western Cape.,0-250 m,2005,8,25,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-575,-33.44111111,22.67777778
79663,115112,550,CAPENATURE,voucher,Boycott R.C.,South Africa,Western Cape,"Waterkloof, Swartberg State Forest","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115112,-33.43888889,21.29361111
79664,115113,550,CAPENATURE,voucher,Boycott R.C.,South Africa,Western Cape,"Waterkloof, Swartberg State Forest","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115113,-33.43888889,21.29361111
79666,63907,550,NMB,Voucher,M.F. BATES/M. CUNNINGHAM/C.L.,South Africa,WESTERN CAPE,"FARM TOVERKOP (56), TOWERKOP MTN, KLEIN SWARTBERG MTNS","degree, minute and integer second",2003,2,10,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-63907,-33.43694444,21.20361111
79667,96008,550,CUN-HEN,voucher,"MJC,CLH,MFB",South Africa,Western Cape,Towerkop shelter,"degree, minute and integer second",2003,2,11,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96008,-33.43694444,21.20361111
79668,115367,550,CAPENATURE,voucher,"Henderson C.L., Cunningham M.J",South Africa,Western Cape,Towerkop shelter,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115367,-33.43694444,21.20361111
79669,3397,550,ReptileMAP-VM,VMUS,Dorse C. & van Rooyen S.,South Africa,Western Cape,Groenkloof; Calitzdorp,0-250 m,2007,10,13,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-3397,-33.43677778,21.85033333
79670,115486,550,CAPENATURE,sight,J Jafta,South Africa,Western Cape,Swartberg,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115486,-33.4275,21.37277778
79671,52040,550,PEM,Voucher,W. R. Branch and M. S. Branch,South Africa,Western Cape,Blesberg Radio Mast,NA,1992,11,21,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52040,-33.42638889,22.69916667
79673,99787,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Farm Rondeberg, Elands Bay District","degree, minute and integer second",1983,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99787,-33.42166667,18.29888889
79674,99788,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Farm Rondeberg, Elands Bay District","degree, minute and integer second",1983,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99788,-33.42166667,18.29888889
79675,115283,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Rondeberg,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115283,-33.42166667,18.29888889
79676,115284,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Rondeberg,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115284,-33.42166667,18.29888889
79677,96019,550,CUN-HEN,tissue,ELR,South Africa,Western Cape,"Cherrydouw, Swartberg Nature Reserve","degree, minute and integer second",2004,9,16,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96019,-33.42,22.88138889
79678,96016,550,CUN-HEN,tissue,ELR,South Africa,Western Cape,"Cherrydouw, Swartberg Nature Reserve","degree, minute and integer second",2004,9,16,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96016,-33.41972222,22.88277778
79679,96017,550,CUN-HEN,tissue,ELR,South Africa,Western Cape,"Cherrydouw, Swartberg Nature Reserve","degree, minute and integer second",2004,9,16,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96017,-33.41972222,22.88277778
79680,52041,550,PEM,Voucher,W. R. Branch,South Africa,Western Cape,Farm Witfontein  Southern foothills of Swartberg,"degree, minute and integer second",1992,11,18,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52041,-33.4175,21.96027778
79681,96018,550,CUN-HEN,tissue,ELR,South Africa,Western Cape,"Cherrydouw, Swartberg Nature Reserve","degree, minute and integer second",2004,9,16,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96018,-33.4175,22.85861111
79682,115123,550,CAPENATURE,voucher,Branch W.R.,South Africa,Western Cape,Farm Witfontein  Southern foothills of Swartberg,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115123,-33.4175,21.96027778
79684,52038,550,PEM,Voucher,W. R. Branch and M. S. Branch,South Africa,Western Cape,Northern slopes of Blesberg,"degree, minute and integer second",1992,11,22,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52038,-33.41305556,22.74222222
79685,52039,550,PEM,Voucher,W. R. Branch and M. S. Branch,South Africa,Western Cape,Northern slopes of Blesberg,"degree, minute and integer second",1992,11,22,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52039,-33.41305556,22.74222222
79687,63906,550,NMB,Voucher,A. TURNER/M.F. BATES/E.P. MOHA,South Africa,WESTERN CAPE,"FARM DE POORT (61), SEWEWEEKSPOORT MTN, KLEIN SWARTBERGE","degree, minute and integer second",2003,2,13,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-63906,-33.40666667,21.39111111
79688,96009,550,CUN-HEN,tissue,"KAT,AAT,MFB,EM",South Africa,Western Cape,Seweweekspoort Aristata,"degree, minute and integer second",2003,2,13,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96009,-33.40666667,21.39111111
