unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79307,115396,550,CAPENATURE,sight,Branch WR,South Africa,Western Cape,Moordkuil catchment,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115396,-33.90111111,22.46805556
79308,115399,550,CAPENATURE,sight,Visser JD (Coll.),South Africa,Western Cape,Moordkuil catchment,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115399,-33.90111111,22.46805556
79309,99844,550,JEM,voucher,AF Flemming,South Africa,Western Cape,"Brackenfell, Belville District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99844,-33.89,18.69611111
79310,99845,550,JEM,voucher,AF Flemming,South Africa,Western Cape,"Brackenfell, Belville District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99845,-33.89,18.69611111
79311,115295,550,CAPENATURE,voucher,AF Flemming,South Africa,Western Cape,Brackenfell,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115295,-33.89,18.69611111
79312,115296,550,CAPENATURE,voucher,AF Flemming,South Africa,Western Cape,Brackenfell.   Belville area.,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115296,-33.89,18.69611111
79313,115419,550,CAPENATURE,sight,Botha M,South Africa,Western Cape,A 20,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115419,-33.88722222,22.01916667
79314,605,550,ReptileMAP-VM,VMUS,Grundlingh F.,South Africa,Western Cape,Tygerberg Nature Reserve; Western Cape.,0-250 m,2004,9,2,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-605,-33.88333333,18.66666667
79315,7269,550,ReptileMAP-VM,VMUS,Gwynne-Evans D.,South Africa,Western Cape,Newlands Forest on Eucalyptus tree; Cape Town,unknown,2000,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-7269,-33.88333333,18.5
79316,135051,550,A-TURNER,tissue,A.A. Turner,South Africa,Western Cape,Elandsriviernek,"degree, minute and integer second",2003,11,14,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-135051,-33.88138889,19.27083333
79317,4783,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Tygerberg Hills,NA,2007,0,10,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4783,-33.87888889,18.5975
79318,99842,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Stettyn, Villiersdorp District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99842,-33.87527778,19.34027778
79319,99843,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Stettyn, Villiersdorp District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99843,-33.87527778,19.34027778
79320,115293,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Stettyn,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115293,-33.87527778,19.34027778
79321,22425,550,TM,voucher,H Geertsema,South Africa,Western Cape,Jonkershoek,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22425,-33.875,18.875
79322,22426,550,TM,voucher,H Geertsema,South Africa,Western Cape,Jonkershoek,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22426,-33.875,18.875
79323,22427,550,TM,voucher,H Geertsema,South Africa,Western Cape,Jonkershoek,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22427,-33.875,18.875
79324,22428,550,TM,voucher,H Geertsema,South Africa,Western Cape,Jonkershoek,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22428,-33.875,18.875
79325,52113,550,PEM,Voucher,N.G. Palmer,South Africa,Western Cape,"East of Dennebos, The Lakes Nature Conservation Reserve.",centroid of 15x15 minute grid (QDS),1976,7,31,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52113,-33.875,22.625
79326,52114,550,PEM,Voucher,N.G. Palmer,South Africa,Western Cape,"Stevenson's Screen, The Lakes Nature Conservation Reserve.",centroid of 15x15 minute grid (QDS),1978,5,8,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52114,-33.875,22.625
79327,74514,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74514,-33.875,18.625
79328,74515,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74515,-33.875,18.875
79329,74523,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74523,-33.875,19.125
79330,74524,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74524,-33.875,19.375
79331,74526,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74526,-33.875,19.875
79332,74530,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74530,-33.875,20.625
79333,74531,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74531,-33.875,21.125
79337,134328,550,CAS,Voucher,NA,South Africa,Western Cape,"8 km NE of Franschhoek, Hottentotsholland Nature Reserve",centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134328,-33.875,19.125
79338,134329,550,CAS,Voucher,NA,South Africa,Western Cape,"8 km NE of Franschhoek, Hottentotsholland Nature Reserve",centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134329,-33.875,19.125
79339,134330,550,CAS,Voucher,NA,South Africa,Western Cape,"8 km NE of Franschhoek, Hottentotsholland Nature Reserve",centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134330,-33.875,19.125
79340,134333,550,CAS,Voucher,NA,South Africa,Western Cape,"Hwy 323, 60.9 km S of BP station in Lainsburg",centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134333,-33.875,20.875
79341,134335,550,CAS,Voucher,NA,South Africa,Western Cape,E side of Stellenbosch airfield,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134335,-33.875,18.875
79342,96015,550,CUN-HEN,voucher,AAT,South Africa,Western Cape,Kanonkop nek on Simonsberg.,"degree, minute and integer second",2004,8,13,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96015,-33.86555556,18.90833333
79343,135063,550,A-TURNER,tissue,A.A. Turner,South Africa,Western Cape,"Delheim, Simonsberg","degree, minute and integer second",2004,8,13,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-135063,-33.86527778,18.90833333
79344,115416,550,CAPENATURE,photo,Botha M,South Africa,Western Cape,D 4,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115416,-33.86388889,22.27833333
79345,115385,550,CAPENATURE,photo,Le Roux E,South Africa,Western Cape,D 3,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115385,-33.86361111,22.26944444
79346,115406,550,CAPENATURE,sight,Le Roux E,South Africa,Western Cape,D 3,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115406,-33.86361111,22.26944444
79347,115415,550,CAPENATURE,sight,Le Roux E,South Africa,Western Cape,D 3,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115415,-33.86333333,22.26333333
79348,115418,550,CAPENATURE,sight,Le Roux E,South Africa,Western Cape,D 3,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115418,-33.86305556,22.26361111
79349,115394,550,CAPENATURE,sight,Pretorius B,South Africa,Western Cape,Campher's Kloof,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115394,-33.86277778,22.36472222
79350,115395,550,CAPENATURE,photo,Louw A,South Africa,Western Cape,Campher's Kloof,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115395,-33.86277778,22.43694444
79351,115420,550,CAPENATURE,photo,Le Roux E,South Africa,Western Cape,D 4,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115420,-33.8625,22.27583333
79352,115403,550,CAPENATURE,photo,Louw A,South Africa,Western Cape,D 3,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115403,-33.86222222,22.27583333
79353,115414,550,CAPENATURE,photo,Le Roux E,South Africa,Western Cape,A 1,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115414,-33.86027778,21.90555556
79354,115411,550,CAPENATURE,sight,Unknown,South Africa,Western Cape,Moordkuil catchment,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115411,-33.85833333,22.25555556
79355,115393,550,CAPENATURE,photo,Louw A,South Africa,Western Cape,D 6,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115393,-33.85694444,22.25361111
79356,115401,550,CAPENATURE,photo,Louw A,South Africa,Western Cape,D 4,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115401,-33.85694444,22.25361111
79357,115397,550,CAPENATURE,photo,Buchholz P,South Africa,Western Cape,Campher's Kloof,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115397,-33.85555556,22.40722222
79358,99835,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Lemoenkloof B, Villiersdorp District","degree, minute and integer second",1985,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99835,-33.85527778,19.47194444
79359,99836,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Lemoenkloof B, Villiersdorp District","degree, minute and integer second",1985,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99836,-33.85527778,19.47194444
79360,115206,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Lemoenkloof B,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115206,-33.85527778,19.47194444
79361,115287,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Lemoenkloof B,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115287,-33.85527778,19.47194444
79362,115382,550,CAPENATURE,photo,Maya K,South Africa,Western Cape,D 6,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115382,-33.85361111,22.24805556
79363,115413,550,CAPENATURE,sight,Botha M,South Africa,Western Cape,D 6,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115413,-33.85361111,22.25138889
79364,115409,550,CAPENATURE,sight,Baardman A,South Africa,Western Cape,C 3,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115409,-33.84972222,22.40972222
79365,4860,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Durbanville Nature Reserve,0-250 m,2007,12,7,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4860,-33.84111111,18.64361111
79366,115243,550,CAPENATURE,voucher,E De Wet,South Africa,Western Cape,Ashton,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115243,-33.83333333,20.04722222
79367,99802,550,JEM,voucher,"leF Mouton, D Mostert, E Baard",South Africa,Western Cape,Klein Roosboom,"degree, minute and integer second",1983,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99802,-33.83305556,18.57388889
79368,99803,550,JEM,voucher,"leF Mouton, D Mostert, E Baard",South Africa,Western Cape,Klein Roosboom,"degree, minute and integer second",1983,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99803,-33.83305556,18.57388889
79369,115298,550,CAPENATURE,voucher,"leF Mouton, Mostert, Baard",South Africa,Western Cape,Klein Roosboom,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115298,-33.83305556,18.57388889
79370,115299,550,CAPENATURE,voucher,"leF Mouton, Mostert, Baard",South Africa,Western Cape,Klein Roosboom,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115299,-33.83305556,18.57388889
79371,99834,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Stettynskloof,"degree, minute and integer second",1985,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99834,-33.82833333,19.27583333
79372,115205,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Stettynskloof,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115205,-33.82833333,19.27583333
79373,115400,550,CAPENATURE,photo,Botha M,South Africa,Western Cape,A 6,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115400,-33.82805556,21.93972222
79374,96014,550,CUN-HEN,voucher,"MJC,KAT,KW,ELR",South Africa,Western Cape,Perdebond,"degree, minute and integer second",2004,4,5,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96014,-33.82555556,21.92583333
79375,96013,550,CUN-HEN,voucher,"MJC,KAT,KW,ELR",South Africa,Western Cape,Perdebond,"degree, minute and integer second",2004,4,5,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96013,-33.8225,21.92861111
79376,115204,550,CAPENATURE,voucher,"Baard, EHW; De Villiers, A & S",South Africa,Western Cape,"Robben Island, Cape Town","degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115204,-33.81,18.37
79377,115281,550,CAPENATURE,voucher,"Baard, EHW; De Villiers, A & S",South Africa,Western Cape,"Robben Island, Cape Town","degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115281,-33.81,18.37
79378,4741,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Renosterveld patch; Vierlanden; Durbanville,0-250 m,2007,3,4,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4741,-33.80833333,18.6625
79379,52065,550,PEM,Voucher,W. R. Branch,South Africa,Western Cape,Farm Rietfontein  49km West of Oudtshoorn,"degree, minute and integer second",1992,11,18,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52065,-33.8075,21.78027778
79380,115157,550,CAPENATURE,voucher,Branch W.R.,South Africa,Western Cape,Farm Rietfontein  49km West of Oudtshoorn,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115157,-33.8075,21.78027778
79381,115448,550,CAPENATURE,sight,mbotha,South Africa,Western Cape,Attakwaskloof Conservancy,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115448,-33.80527778,21.89305556
79382,115244,550,CAPENATURE,voucher,JGM Melle,South Africa,Western Cape,Robertson,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115244,-33.80222222,19.88111111
79383,115166,550,CAPENATURE,voucher,HW Oakley,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115166,-33.8,18.36
79384,115167,550,CAPENATURE,voucher,HW Oakley,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115167,-33.8,18.36
79385,115188,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115188,-33.8,18.36
79386,115189,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115189,-33.8,18.36
79387,115190,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115190,-33.8,18.36
79388,115191,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115191,-33.8,18.36
79389,115192,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115192,-33.8,18.36
79390,115193,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115193,-33.8,18.36
79391,115194,550,CAPENATURE,voucher,GR McLachlan U van den Heever,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115194,-33.8,18.36
79392,115234,550,CAPENATURE,voucher,WF Purcell,South Africa,Western Cape,Robben Island.,"degree, minute and integer second",NA,NA,NA,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115234,-33.8,18.36
